"town","race_white","race_black","race_aian","race_asian","race_nhpi","race_hispanic","below_poverty","unemployed","housing_burden","no_vehicle","living_alone","crowded_housing","internet"
"Barrington",0.878801134477537,0.00262072469663248,0.000981625704362779,0.0431294097850209,0,0.0446286333511192,0.044888445015417,0.02515411095907,0.463327862938869,0.0162791655019495,0.159764785796807,0.00477359723395525,0.947477447200408
"Bristol",0.905810867173369,0.0126802397720681,0.000435240024107191,0.0185233349390066,0,0.0253357685365929,0.0596265872354664,0.0403006426856817,0.422512143179926,0.0386394041560641,0.351638568476134,0.00109025253218639,0.908326066335612
"Burrillville",0.911698477741054,0.000999398130095506,0.0000500612112311184,0.017892683017455,0,0.0569645143277493,0.0651688665722793,0.0693144637876657,0.336777151672392,0.0533037639102617,0.189852793227788,0.00365198693820246,0.92420741194503
"Central Falls",0.18582513990385,0.0724018789203883,0.000988302196719224,0.0020722908519171,0,0.688795237607123,0.236146123199871,0.0845786983744416,0.580777563105806,0.232032647435128,0.249191399409158,0.0487158493725361,0.828645033225984
"Charlestown",0.93564999545317,0.00752097515144824,0.00486904508411587,0.0000000115595887953513,0,0.024694800268976,0.059325917798084,0.0602670160946946,0.629809050767458,0.0101885583108715,0.231805790139023,0.00086726352325743,0.944690743140438
"Coventry",0.912793806936101,0.00146532021421339,0.0000000114349819376703,0.0125766164790445,0,0.0415241034478918,0.0794458652173137,0.0357918283507323,0.418426593337922,0.0246551692188062,0.228307243635249,0.0112692081189834,0.93554741323614
"Cranston",0.651990261754435,0.0492976391246004,0.00227212963782928,0.0656516397552184,0.00266310829801468,0.187938366114367,0.0836147289045676,0.0567142273081462,0.471547947108699,0.070457542000183,0.334399014268944,0.0116575116111204,0.886401170643089
"Cumberland",0.846159584706911,0.0159134462613264,0.000125726735328067,0.0320310748756187,0,0.0706430358787884,0.0501157035240552,0.0235831500163485,0.478804150630585,0.048245881853881,0.241722032761622,0.0118701829249431,0.886765528903156
"East Greenwich",0.828704349609363,0.00882559904106759,0.0074095472029448,0.0838112473301813,0,0.0465109520110567,0.0653915201010694,0.0340354039387241,0.472056134233005,0.0804102714785223,0.24394763597638,0.00589586550999581,0.947126145538129
"East Providence",0.77236321307945,0.054510452117219,0.00155525635385768,0.0213190481278159,0.000427229025648306,0.0852948898131504,0.10828089611565,0.0574896196042786,0.484384113678044,0.0869959459569687,0.37187144168082,0.0142558285580581,0.864287933375855
"Exeter",0.887542037337845,0.0163917179064318,0.00158169790136002,0.00676275119120542,0.0000000224489881044521,0.046731851974879,0.0924558733952498,0.078844662829111,0.504904793110014,0.00553234618980562,0.189450716002853,0.00425049942982396,0.972933713240636
"Foster",0.877795355975489,0.00155870818457086,0,0.00200555147215284,0,0.0028947437727395,0.0389806880795302,0.00422751307289316,0.394192125695211,0.0356926179254074,0.114965135961505,0.0220660258735826,0.917988443956106
"Glocester",0.974101734388586,0.000000000253605114958755,0.000498055051783976,0.00577758385447238,0,0.00577706890588773,0.0313773556651671,0.025318965209833,0.317243997782875,0.0115320839161702,0.20290052877221,0.0105906657120919,0.911315965006304
"Hopkinton",0.933740063504262,0.00000845472223399619,0,0.00846561066063417,0,0.0241932708946643,0.066662725500434,0.0619132041061013,0.412010620384074,0.0170075635285267,0.151759506457496,0.0199124066064932,0.921228034357631
"Jamestown",0.949046101748526,0.000540211269910201,0.00270076410727809,0,0,0.00738152131516911,0.0435728274184145,0.0685013490757004,0.422221127210592,0.0260934605016208,0.305313942462016,0,0.989596918279317
"Johnston",0.774213260687574,0.0340014601480577,0.0000616742068702299,0.0112178447235588,0,0.151555878218971,0.0692644504463638,0.0648236970125708,0.475922271428434,0.0251368229077373,0.30694185711771,0.00990540530052129,0.903070583126078
"Lincoln",0.821768830741588,0.0118523600232273,0.0000468727703909491,0.0550901484253773,0,0.0538910331894104,0.0780972110615703,0.0630677886788447,0.413993210493893,0.0615937764404538,0.254815544530269,0.0209499895246393,0.881552002872177
"Little Compton",0.972755130970983,0.0000000050318952830722,0,0.00298333667492237,0,0.0242615241772645,0.0166543557336752,0.0903690786696952,0.355301371832414,0.0312702822406059,0.247142148923444,0.0016332662414097,0.989473726907901
"Middletown",0.765275837935668,0.0601720898548746,0.000477018671612817,0.024024418368324,0.00128527809825494,0.0652711682460518,0.0704650367178853,0.040963884043036,0.414000646728696,0.0473914776001605,0.274943715327863,0.00443642038848133,0.903384818619413
"Narragansett",0.930382019658827,0.00540246590750113,0.00109409436807911,0.00355664294242231,0,0.0427423445246934,0.194482086481989,0.0615079766926032,0.582372438614737,0.0171830519920512,0.289827294831148,0.00165602545578715,0.923470874177892
"New Shoreham",0.956340954663996,0.00831600863542937,0,0,0,0,0.114345111500415,0.0845360824742268,0.0918367346938776,0,0.402247172375917,0.00764136605983502,0.867415737844211
"Newport",0.790707541256507,0.0600576681534588,0.00549322645295246,0.0169073524930617,0,0.0820087045844462,0.114188580599208,0.0927162623429538,0.479864327657341,0.0940315512677779,0.396460896189909,0.00727579688303758,0.891602458292558
"North Kingstown",0.878239328114055,0.00804647640218439,0.00073762777072354,0.0359991455285382,0,0.0316498012514679,0.057871996703863,0.0307459302008868,0.376004121131819,0.0478207339940256,0.269726310366314,0.00483047093864795,0.943431925891135
"North Providence",0.695531172143243,0.0622417880590386,0.000114776065043287,0.0266000262242389,0,0.142877448048969,0.102297006368185,0.0627805949197808,0.358008332170505,0.0730117553915769,0.357384067204129,0.0195707077299451,0.891742164168579
"North Smithfield",0.944133760866493,0.00372522695858353,0,0.00852929704276139,0.00321474533867122,0.0267697198531595,0.0512993544312958,0.0446317423937465,0.314371536629863,0.0275478939235254,0.296242163322635,0.00405413778978692,0.913900879148159
"Pawtucket",0.463446369907247,0.149770833341368,0.00298112111098181,0.0120784114003049,0.000951910648105598,0.252989446562974,0.132275060037828,0.0660771818919408,0.441703514557229,0.115765617655586,0.318777959141995,0.028053890749656,0.868835548700552
"Portsmouth",0.894209333190052,0.0154627477884667,0,0.01008997142987,0,0.042568738068244,0.0504284977853467,0.0323191949906555,0.422185183579282,0.0370068997931923,0.311753125484162,0.00104541655016427,0.935548952661906
"Providence",0.34063450807294,0.129853345385294,0.00310227363807236,0.0621181947444349,0.000217742644099263,0.426774895122403,0.19814511906932,0.0705882213542358,0.430952647995377,0.146509284937639,0.328816884719077,0.04036551798893,0.858829226550484
"Richmond",0.921756105021264,0.00185727514895867,0.000000134961689661567,0.00000118681628725462,0,0.0367681456437725,0.0229037359438994,0.0142252760442064,0.000112019056288883,0.00430098794046358,0.129190576223434,0,0.993971672477985
"Scituate",0.920030757356831,0.00163398691954328,0,0.0129757785357579,0,0.0289311802528008,0.0297962321633981,0.0249035989227638,0.492673991622068,0.0153538050335135,0.194789674650101,0.00378282153078271,0.93881453147666
"Smithfield",0.903704800431536,0.00954883280087386,0.000147472870801411,0.0240960562734378,0,0.0477577126999315,0.0437995809888091,0.0747360003258057,0.469648919115203,0.071687822451297,0.317742068647491,0.0019319067888459,0.889325550044742
"South Kingstown",0.885130000040442,0.0174791296976685,0.00701158814796992,0.0296368319409142,0.000174732245140834,0.0338681831295324,0.0507947308842435,0.077080332890822,0.362640859606465,0.0333771988333142,0.25669617886455,0.00492666248265125,0.927541018389187
"Tiverton",0.922716285073649,0.00702838918770638,0.000232332945203108,0.00630528891612487,0,0.0484202760084977,0.0522897248443704,0.0717695052492424,0.284355403747246,0.0328200177031663,0.253684338914622,0.018674960925001,0.91989331981841
"Warren",0.915290996575538,0.0155612179887814,0,0.00449138286161373,0,0.0331703149066469,0.103479180223954,0.0600572222016481,0.484249564744378,0.120771313379852,0.369504349057947,0.00446075777170834,0.8711665039711
"Warwick",0.841724566746589,0.0337466181202075,0.000520798969211246,0.0282557446293071,0.000524396040775115,0.0650458479810652,0.0738649899621291,0.0493124100107123,0.533951321153512,0.0543571998241311,0.347606072204182,0.00939861310970355,0.898814502455798
"West Greenwich",0.89516458865443,0.00394058912887374,0.000908343333256371,0.020107034726271,0,0.0335549779985779,0.0178567702201856,0.0829637548323297,0.269149719863082,0.0221676945194935,0.0772377910194519,0,0.977944442318833
"West Warwick",0.812830811344063,0.0203135690581825,0.000962201564019883,0.033668150560059,0,0.0919168903001227,0.0936206102617156,0.0388929527431812,0.456206177124877,0.0968899991120052,0.316996423524983,0.0279463463688265,0.874132809980817
"Westerly",0.914870958234957,0.00906635654932101,0.00151475333309686,0.0208437793873455,0,0.0333533894912599,0.0693814705054823,0.0731991146508949,0.400945244771696,0.0417995723417416,0.296203279518025,0.00480018367994859,0.924613058685007
"Woonsocket",0.567363254919738,0.0603686634521101,0.00221941834294915,0.0663441455643881,0,0.24125362161027,0.183802564282208,0.082518683883652,0.429731939071481,0.155397370460078,0.338067557492874,0.0372606707521653,0.869142156323444
